emp_id,first_name,last_name,age,birth_date,join_date,salary,manager,department
R1,Sesb,Utyql,52,1971-10-04,2004-07-13,27547,Picl,Operations
R2,Dynpnq,Mjnzub,34,1989-04-17,2013-11-21,93799,Nxvth,Product Management
E3,Ezyau,Fmg,32,1991-02-04,2017-04-13,43676,Iybvvi,Human Resources
M4,Fhkyip,Lfuha,45,1978-12-16,2009-10-16,21823,Zjr,Sales
W5,Dcas,Wsza,25,1998-01-24,2021-05-16,32686,Sbenh,Finance
T6,Mcaxyj,Jiejw,30,1993-06-02,2023-10-28,85349,Livlzj,It
M7,Fppto,Rvdibf,35,1988-11-06,2018-07-23,25610,Kzrlo,Product Management
W8,Nfs,Lzaao,39,1984-02-05,2009-03-04,94721,Koqidl,Marketing
M9,Xzlpjp,Ijlh,47,1976-09-20,2015-03-10,36553,Qczesw,Product Management
T10,Lbq,Yxpv,57,1966-11-07,2016-02-29,95461,Ifyt,Sales
