emp_id,first_name,last_name,age,birth_date,join_date,salary,manager,department
K1,Bjxhtt,Sppmu,57,1966-12-16,1995-08-24,56685,Zvkgm,Legal
K2,Buf,Oeslzd,23,2000-01-13,2023-07-19,91372,Elptj,Customer Service
N3,Dcqf,Zhyapf,33,1990-02-18,2022-06-01,46739,Uyzyf,Customer Service
H4,Htbbj,Gdc,27,1996-01-20,2017-09-08,54136,Zwmxxq,Legal
B5,Syh,Fiyqk,37,1986-08-25,2016-10-30,43906,Acuwxb,Product Management
O6,Adm,Fydub,25,1998-06-04,2022-10-09,23681,Evyls,Legal
P7,Gtrzhk,Egwz,44,1979-07-26,2020-12-14,72171,Afqg,Marketing
T8,Vnew,Cszt,36,1987-03-26,2015-11-05,98987,Otkw,Human Resources
C9,Pjkwsh,Dmh,53,1970-10-13,2019-10-22,45652,Pjvzp,Sales
S10,Kisot,Wzg,58,1965-03-22,2001-10-13,41255,Ydqg,Customer Service
F11,Syhj,Labxjj,26,1997-05-05,2019-08-28,64895,Ptzc,Marketing
O12,Khjvpk,Eddhq,26,1997-10-27,2023-05-16,42379,Bha,Product Management
Q13,Yesr,Rwasn,55,1968-05-27,2011-02-27,50534,Pdie,Operations
D14,Mrzuu,Epatx,31,1992-02-20,2021-12-27,61909,Xrmsdo,Research And Development
B15,Hspg,Yvzq,36,1987-10-03,2011-05-08,70926,Mavbi,Research And Development
L16,Umh,Iwpu,37,1986-12-04,2022-01-19,79652,Kagof,Product Management
A17,Xwtq,Kydc,36,1987-08-02,2013-06-21,50847,Yymqwz,Customer Service
O18,Hny,Jvt,51,1972-01-28,1998-05-27,83505,Ngc,Customer Service
G19,Rku,Ktowqx,36,1987-08-23,2010-06-18,45282,Pain,It
G20,Upszrb,Oomzna,35,1988-04-18,2012-08-19,33130,Uphyk,Marketing
