Employee Id,First Name,Last Name,Age,Birth Date,Join Date,Salary,Manager Name,Department
I1,Wixy,Piwz,44,1979-03-15,2013-12-20,97948,Doqa,Research and Development
S2,Xiva,Muvx,24,1999-08-5,2023-01-28,99339,Bysq,Finance
L3,Tuxi,Hybs,60,1963-02-25,2000-06-4,91380,Rizt,Sales
F4,Losv,Aaje,40,1983-06-3,2008-10-14,49570,Vakd,Legal
I5,Uyfw,Uigq,47,1976-04-19,2003-03-11,44015,Eoxa,Legal
K6,Budv,Sesj,41,1982-07-24,2020-02-24,31144,Zisb,Research and Development
L7,Aimm,Oatm,49,1974-08-13,2015-07-27,46229,Cizo,Legal
V8,Bajc,Dibe,35,1988-09-1,2018-03-25,34615,Qyzw,Marketing
P9,Kyho,Cyhh,22,2001-04-26,2023-06-24,13173,Syjx,Research and Development
X10,Rijl,Rokz,35,1988-04-23,2009-07-31,26948,Vama,Research and Development
S11,Mosx,Pyhm,27,1996-11-16,2017-03-30,86490,Vykk,Human Resources
A12,Hahk,Gocq,32,1991-02-12,2023-06-15,23889,Qulx,Research and Development
H13,Iuvl,Muwc,57,1966-02-14,1992-03-7,25989,Wuxr,Research and Development
J14,Sikm,Yiss,60,1963-10-30,1995-10-1,17104,Wupp,IT
V15,Vecn,Ietd,57,1966-11-1,2020-05-3,81366,Keku,Product Management
V16,Zukb,Dimk,48,1975-01-9,2016-07-12,73770,Lejm,IT
Y17,Nehe,Dywy,42,1981-06-6,2015-10-14,57120,Xish,Product Management
E18,Ootk,Degz,56,1967-09-15,2014-01-26,10798,Mapb,Product Management
W19,Pemb,Fypl,33,1990-07-12,2021-11-25,52635,Gund,Finance
C20,Oany,Oorx,55,1968-10-20,1995-05-27,44486,Nuqo,Research and Development
Y21,Hydu,Nedj,42,1981-12-22,2013-08-3,67343,Yibr,IT
Y22,Eirb,Iilr,21,2002-11-18,2023-12-29,39698,Kavo,Product Management
R23,Bexr,Godf,51,1972-11-10,2009-12-23,74422,Lyhc,IT
H24,Jymv,Ueve,31,1992-06-24,2021-10-1,67049,Busi,Legal
Y25,Zolk,Cigt,58,1965-07-27,2020-04-21,50870,Cucr,Research and Development
N26,Rupb,Xinj,23,2000-10-6,2023-09-28,74507,Devh,Operations
J27,Oysy,Eofs,44,1979-02-12,2013-11-6,81844,Fehh,Product Management
J28,Woqy,Were,54,1969-03-29,1993-09-11,39340,Nizt,Operations
X29,Aenn,Fuqr,45,1978-05-5,2014-08-20,48093,Wozz,Product Management
S30,Bijl,Jelk,34,1989-01-18,2011-07-20,43031,Kipc,Human Resources
S31,Fuma,Pubu,57,1966-04-3,1992-04-31,85492,Sudh,Finance
Q32,Qedm,Aydi,48,1975-08-5,2014-02-21,51988,Capr,Research and Development
C33,Oymf,Mucw,40,1983-01-6,2016-11-10,92283,Homg,Sales
Y34,Kepm,Johr,24,1999-07-22,2020-02-23,90652,Fikh,Research and Development
E35,Aohx,Zyws,51,1972-09-15,1993-02-16,61814,Qolo,Sales
L36,Gign,Ayvm,27,1996-11-11,2021-04-29,65774,Yyhc,Operations
C37,Tywb,Febt,43,1980-01-12,2023-06-25,76372,Oyje,Marketing
Q38,Mejk,Fuwy,57,1966-08-25,1991-10-4,91057,Xaxa,IT
O39,Vowg,Pokr,26,1997-11-4,2022-09-16,12760,Maqx,Marketing
