emp_id,first_name,last_name,age,birth_date,join_date,salary,manager,department
E1,Grfz,Opiq,39,1984-01-02,2017-01-20,85690,Uhhe,Human Resources
M2,Jktnl,Ugfsjs,39,1984-05-22,2016-06-29,23040,Dlv,Marketing
D3,Qyah,Sot,45,1978-06-09,2017-04-24,65931,Yqm,Legal
M4,Wams,Bokjq,53,1970-05-01,1994-03-05,51367,Ipn,Product Management
G5,Dmi,Zwi,36,1987-02-20,2013-03-16,64073,Jnrd,Operations
D6,Dcwzk,Inrrxr,37,1986-08-18,2021-10-03,26072,Oaaure,Product Management
K7,Jkt,Ckl,46,1977-01-12,2012-02-29,57660,Mmv,Operations
J8,Exccx,Golqb,50,1973-03-04,2021-08-08,72042,Plhg,Sales
R9,Moicz,Ytfb,38,1985-08-02,2014-02-20,39687,Obj,Operations
B10,Lqateh,Cqtvfp,51,1972-06-28,2007-12-21,24561,Chhiq,Research And Development
U11,Lzwkbe,Kau,43,1980-07-26,2021-05-09,81308,Oek,Sales
R12,Qfx,Owyi,36,1987-01-26,2022-06-24,55839,Mqg,Customer Service
B13,Emhbad,Pevd,21,2002-05-25,2023-09-22,80831,Rnh,Marketing
V14,Tzm,Nxe,41,1982-09-30,2016-03-02,91113,Kdtjm,Sales
B15,Oqbkhc,Gbhfi,38,1985-03-06,2023-04-22,69263,Pgskg,Human Resources
F16,Xeez,Eqmy,44,1979-02-27,2003-07-24,73853,Imo,Marketing
J17,Lvjf,Jdvm,27,1996-05-23,2021-04-13,56036,Tyjjmi,Product Management
L18,Zpboqr,Qfxp,59,1964-08-31,2002-11-21,39394,Lvncdb,Sales
E19,Zihn,Sqj,59,1964-09-19,2019-04-26,85455,Iyqpp,It
S20,Dygd,Kxmh,25,1998-03-12,2022-01-19,90315,Adioi,Research And Development
A21,Cutpzv,Uns,44,1979-12-22,2004-01-07,74802,Nasqoa,Human Resources
W22,Dtmevx,Khblsb,44,1979-08-24,2012-07-20,37619,Woe,Human Resources
Q23,Gsk,Fnuofu,32,1991-07-15,2017-02-08,56151,Hfcd,Human Resources
K24,Swseia,Nbkyop,50,1973-04-17,2009-04-15,32086,Qibfbv,Legal
V25,Ahh,Kememq,59,1964-02-07,1992-12-13,75245,Djr,Finance
J26,Vbwj,Qpceur,41,1982-10-09,2003-10-17,56411,Abitya,Legal
E27,Zwmjhs,Vjon,29,1994-02-22,2015-11-18,55534,Uxbeu,Product Management
S28,Atihl,Dscpy,54,1969-11-10,1990-01-04,92604,Noz,Research And Development
O29,Wtxed,Nzqbzy,33,1990-01-31,2022-08-05,13828,Onxmu,Customer Service
M30,Vlsl,Fasljg,56,1967-12-19,2022-06-10,15450,Attmv,It
W31,Ychr,Ueke,28,1995-10-17,2020-11-16,58738,Cxn,Customer Service
Y32,Qvq,Klb,35,1988-01-14,2020-04-11,65379,Efb,Human Resources
A33,Kphmvl,Hpayt,31,1992-12-28,2023-11-06,74147,Oypozv,Customer Service
Y34,Ewdvye,Xhcf,38,1985-12-05,2016-10-02,54978,Uaj,Legal
D35,Bxschg,Lby,40,1983-07-29,2006-11-18,58854,Uxwod,Operations
F36,Vsaog,Cpzo,21,2002-12-31,2023-03-15,27901,Jqpsnp,Sales
S37,Rcu,Bnkt,22,2001-03-31,2022-09-12,88165,Lcm,Legal
G38,Ets,Oynr,39,1984-10-07,2016-06-12,90676,Twb,Operations
X39,Fzp,Ubzg,43,1980-12-11,2002-06-09,96642,Bhefrq,Operations
N40,Nlbx,Anb,30,1993-12-21,2023-01-25,89002,Orx,Customer Service
U41,Jdfc,Eym,49,1974-07-14,1999-08-29,24163,Djorol,Research And Development
